age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type
13.0,1997.0,2010.0,52.30%,700,1397.4900000000002,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
14.0,1997.0,2011.0,59.70%,700,1941.39,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
30.0,1950.0,1980.0,46.00%,750,4211.34,Springbank,"Cadenhead, Campbeltown Single Malt",Cadenhead, Campbeltown Single Malt
31.0,1981.0,2012.0,58.90%,700,3241.2000000000003,Karuizawa Noh Single Cask,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
18.0,1968.0,1986.0,43.00%,750,2060.1600000000003,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
19.0,1962.0,1981.0,45.71%,750,3315.57,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
18.0,1980.0,1998.0,40.00%,700,2198.9100000000003,Macallan Gran Reserva,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
13.0,1999.0,2012.0,57.20%,700,1649.46,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
18.0,1967.0,1985.0,43.00%,750,1848.15,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
35.0,1941.0,1976.0,43.00%,750,3641.9100000000003,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
,1984.0,,56.80%,700,2478.63,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
29.0,1971.0,2000.0,50.00%,700,2960.3700000000003,Brora The Old Malt Cask,"Douglas Laing, Highlands Single Malt",Douglas Laing, Highlands Single Malt
30.0,1984.0,2014.0,58.50%,700,2264.4,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
25.0,1949.0,1974.0,43.00%,750,2379.84,Macallan (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
25.0,1962.0,1987.0,43.00%,750,2731.71,Macallan Anniversary Malt,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
22.0,1979.0,2001.0,56.20%,700,2410.92,Port Ellen 1st Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
26.0,1990.0,2016.0,52.90%,700,2771.67,Balvenie DCS Compendium (Chapter 2),"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
56.0,1950.0,2006.0,43.00%,700,3599.7300000000005,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
32.0,1968.0,2000.0,50.80%,700,2978.13,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
,1974.0,,52.60%,750,1546.2300000000002,Highland Park Online Tasting,"Original Bottling, Islands Single Malt",Original Bottling, Islands Single Malt
14.0,1989.0,2003.0,59.20%,500,1774.89,Macallan Cask Strength,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
32.0,1968.0,2000.0,50.80%,700,2564.1000000000004,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
24.0,1976.0,2000.0,53.20%,700,2533.0200000000004,Ardbeg Single Cask (The Ardbeg Committee),"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
32.0,1968.0,2000.0,45.50%,700,2156.73,Bowmore,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
28.0,1947.0,1975.0,42.86%,750,2449.7700000000004,Glenrothes,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
37.0,1976.0,2013.0,51.00%,700,2980.3500000000004,Lagavulin 2013 Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
31.0,1966.0,1997.0,52.00%,700,2022.42,Springbank Local Barley,"Original Bottling, Campbeltown Single Malt",Original Bottling, Campbeltown Single Malt
32.0,1966.0,1998.0,56.90%,700,2635.1400000000003,Springbank Local Barley,"Original Bottling, Campbeltown Single Malt",Original Bottling, Campbeltown Single Malt
25.0,1983.0,2008.0,58.90%,700,1156.6200000000001,Yoichi 116.15,"Scotch Malt Whisky Society, Japan Single Malt",Scotch Malt Whisky Society, Japan Single Malt
21.0,1957.0,1978.0,45.71%,750,3564.2100000000005,Talisker Sherry Wood,"Cadenhead, Islands Single Malt",Cadenhead, Islands Single Malt
42.0,1959.0,2001.0,46.00%,700,1851.4800000000002,Glenfarclas Christmas Day,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
31.0,1968.0,1999.0,43.00%,700,1744.92,Bowmore Millennium Edition,"Signatory Vintage, Islay Single Malt",Signatory Vintage, Islay Single Malt
32.0,1968.0,2000.0,46.00%,700,1794.8700000000001,Bowmore,"Signatory Vintage, Islay Single Malt",Signatory Vintage, Islay Single Malt
45.0,1938.0,1983.0,40.00%,750,2318.7900000000004,Glen Grant,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
40.0,1949.0,1989.0,37.90%,750,2317.6800000000003,Macallan,"Signatory Vintage, Speyside Single Malt",Signatory Vintage, Speyside Single Malt
17.0,1964.0,1981.0,43.00%,750,2329.8900000000003,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
25.0,1968.0,1993.0,43.00%,750,1500.72,Glendronach Sherry Casks,"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
30.0,1981.0,2011.0,58.30%,700,1950.2700000000002,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
18.0,1971.0,1989.0,43.00%,750,1809.3000000000002,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
37.0,1940.0,1977.0,40.00%,750,3475.4100000000003,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
18.0,1979.0,1997.0,40.00%,700,1958.0400000000002,Macallan Gran Reserva,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
35.0,1936.0,1971.0,43.00%,750,3169.05,Mortlach Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
55.0,1943.0,1998.0,40.00%,700,2766.1200000000003,Glenlivet Private Collection,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
18.0,1972.0,1990.0,43.00%,750,1850.3700000000001,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
46.0,1936.0,1982.0,40.00%,750,2697.3,Mortlach,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
26.0,1990.0,2016.0,60.60%,700,2302.1400000000003,Karuizawa Geisha Label,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
30.0,1986.0,2016.0,53.00%,700,2628.48,Shinshu Mars Komagatake,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
58.0,1948.0,2006.0,40.00%,700,2594.07,Glen Grant,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
21.0,1963.0,1984.0,43.00%,750,1706.0700000000002,Glenlivet Chairman Reserve,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
33.0,1973.0,2006.0,45.00%,700,1677.21,Dalmore Cabernet Sauvignon (Haut Marbuzet Finish),"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
28.0,1984.0,2012.0,59.30%,700,2244.42,Karuizawa Cockatil Series,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
30.0,1976.0,2006.0,45.30%,700,1103.3400000000001,Macallan Single Cask,"Adelphi, Speyside Single Malt",Adelphi, Speyside Single Malt
,1938.0,,40.00%,750,2562.9900000000002,Macallan Pride of Strathspey (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
25.0,1991.0,2016.0,52.70%,700,2849.3700000000003,Lagavulin 200th Anniversary,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
,1967.0,,43.00%,700,2352.09,Glen Garioch,"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
25.0,1964.0,1989.0,43.00%,750,3308.9100000000003,Macallan Anniversary Malt (Giovinetti and Figli),"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
53.0,1939.0,1992.0,40.00%,700,2282.1600000000003,Linkwood,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
18.0,1974.0,1992.0,43.00%,700,1509.6000000000001,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
40.0,1974.0,2014.0,40.80%,700,1555.1100000000001,Ladyburn 2014 Release,"Original Bottling, Lowlands Single Malt",Original Bottling, Lowlands Single Malt
21.0,1952.0,1973.0,43.00%,750,2041.2900000000002,Talisker Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Islands Single Malt",Gordon & MacPhail, Islands Single Malt
30.0,1968.0,1998.0,49.20%,700,1854.8100000000002,Glenfiddich Vintage Reserve,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
,1967.0,,46.00%,750,2067.9300000000003,Springbank Prestonfield,"Pipe House, Campbeltown Single Malt",Pipe House, Campbeltown Single Malt
,1978.0,,49.20%,700,1931.4,Glenfiddich Private Vintage (Virgin Atlantic),"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
18.0,1976.0,1994.0,43.00%,750,1823.7300000000002,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
18.0,1980.0,1998.0,43.00%,700,1168.8300000000002,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
18.0,1990.0,2008.0,60.00%,700,2528.5800000000004,Yamazaki The Cask of Yamazaki (Sherry Butt),"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
34.0,1968.0,2002.0,43.80%,700,1418.5800000000002,Bunnahabhain Auld Acquaintance,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
20.0,1968.0,1988.0,43.00%,750,2723.94,Caol Ila,"Intertrade, Islay Single Malt",Intertrade, Islay Single Malt
20.0,1993.0,2013.0,61.10%,700,1471.8600000000001,Karuizawa 132.3,"Scotch Malt Whisky Society, Japan Single Malt",Scotch Malt Whisky Society, Japan Single Malt
35.0,1968.0,2003.0,40.30%,700,1242.0900000000001,Macallan,"Celtic Heartlands, Speyside Single Malt",Celtic Heartlands, Speyside Single Malt
26.0,1967.0,1993.0,51.70%,700,2161.17,Rosebank,"Signatory Vintage, Lowlands Single Malt",Signatory Vintage, Lowlands Single Malt
21.0,1951.0,1972.0,43.00%,750,1753.8000000000002,Talisker Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Islands Single Malt",Gordon & MacPhail, Islands Single Malt
48.0,1966.0,2014.0,43.00%,700,1608.39,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
48.0,1938.0,1986.0,40.00%,750,1509.6000000000001,Glenlivet,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
30.0,1979.0,2009.0,57.70%,700,1098.9,Port Ellen 9th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
24.0,1978.0,2002.0,59.35%,700,1108.89,Port Ellen 2nd Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
25.0,1978.0,2003.0,56.20%,700,1302.0300000000002,Port Ellen 4th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
31.0,1978.0,2009.0,54.60%,700,1243.2,Port Ellen 10th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
18.0,1988.0,2006.0,58.30%,700,1022.3100000000001,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
21.0,1985.0,2007.0,56.50%,700,1254.3000000000002,Lagavulin 2007 Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
39.0,1972.0,2011.0,45.00%,700,955.71,Longmorn,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
18.0,1985.0,2003.0,43.00%,700,819.1800000000001,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
15.0,1977.0,1992.0,63.10%,700,1729.38,Rosebank 25.5,"Scotch Malt Whisky Society, Lowlands Single Malt",Scotch Malt Whisky Society, Lowlands Single Malt
24.0,1979.0,2003.0,57.30%,700,1035.63,Port Ellen 3rd Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
57.0,1950.0,2007.0,40.00%,700,1835.94,Glen Grant,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
17.0,1996.0,2013.0,61.70%,700,1149.96,Karuizawa 132.4,"Scotch Malt Whisky Society, Japan Single Malt",Scotch Malt Whisky Society, Japan Single Malt
15.0,2000.0,2015.0,61.10%,700,1951.38,Karuizawa Geisha Label (Sherry Cask),"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
16.0,2000.0,2016.0,59.00%,700,1825.9500000000003,Karuizawa Geisha Label (Cask Strength),"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
58.0,1954.0,2012.0,43.00%,700,1944.7200000000003,Mortlach,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
32.0,1979.0,2011.0,52.50%,700,1596.18,Port Ellen 12th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
35.0,1937.0,1972.0,43.00%,750,1793.7600000000002,Strathisla Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
35.0,1976.0,2011.0,43.40%,700,1419.69,Laphroaig,"Scotia Royale, Islay Single Malt",Scotia Royale, Islay Single Malt
56.0,1948.0,2004.0,40.00%,700,2093.46,Strathisla,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
30.0,1964.0,1994.0,54.10%,700,1222.1100000000001,Glenfarclas,"Signatory Vintage, Speyside Single Malt",Signatory Vintage, Speyside Single Malt
46.0,1954.0,2000.0,43.00%,700,1280.94,Glenfarclas,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
37.0,1973.0,2010.0,50.60%,700,1434.1200000000001,Highland Park,"Original Bottling, Islands Single Malt",Original Bottling, Islands Single Malt
19.0,1979.0,1998.0,61.00%,750,1699.41,North Port Rare Malts,"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
22.0,1959.0,1981.0,46.00%,750,1152.18,Teaninich,"Samaroli, Highlands Single Malt",Samaroli, Highlands Single Malt
18.0,1958.0,1976.0,43.00%,750,1292.0400000000002,Highland Park (Ferraretto),"Original Bottling, Islands Single Malt",Original Bottling, Islands Single Malt
27.0,1978.0,2005.0,54.20%,700,1100.01,Port Ellen 6th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
18.0,1972.0,1990.0,43.00%,750,1011.21,Glendronach,"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
18.0,1960.0,1978.0,43.00%,750,919.08,Highland Park,"Original Bottling, Islands Single Malt",Original Bottling, Islands Single Malt
42.0,1973.0,2015.0,43.00%,700,1232.1000000000001,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
20.0,1990.0,2010.0,46.00%,700,410.70000000000005,Macallan 30th Anniversary,"Moon-Import, Speyside Single Malt",Moon-Import, Speyside Single Malt
32.0,1979.0,2011.0,53.90%,700,1300.92,Port Ellen 11th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
59.0,1953.0,2012.0,43.00%,700,1452.9900000000002,Strathisla Distillery Labels,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
34.0,1937.0,1971.0,43.00%,750,1466.3100000000002,Strathisla Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
40.0,1969.0,2009.0,47.30%,700,1284.2700000000002,Kinclaith Cask Strength,"Signatory Vintage, Lowlands Single Malt",Signatory Vintage, Lowlands Single Malt
23.0,1980.0,2003.0,52.60%,700,1314.24,Bowmore Queen´s Visit,"The Scottish Independent Distillers Co. Ltd., Islay Single Malt",The Scottish Independent Distillers Co. Ltd., Islay Single Malt
32.0,1973.0,2005.0,40.00%,700,647.1300000000001,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
23.0,1965.0,1988.0,46.00%,750,1001.2200000000001,Bladnoch The Costumes,"Moon-Import, Lowlands Single Malt",Moon-Import, Lowlands Single Malt
8.0,2009.0,2017.0,61.90%,700,1794.8700000000001,Chichibu Warrior Series,"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
22.0,1966.0,1988.0,46.00%,750,874.6800000000001,Glenlossie The Costumes,"Moon-Import, Speyside Single Malt",Moon-Import, Speyside Single Malt
18.0,1956.0,1974.0,43.00%,750,825.84,Highland Park (Ferraretto),"Original Bottling, Islands Single Malt",Original Bottling, Islands Single Malt
46.0,1946.0,1992.0,40.00%,700,1308.69,Linkwood,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail, Speyside Single Malt
25.0,1992.0,2017.0,61.40%,700,1056.72,Glenfiddich 130th Anniversary,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
25.0,1981.0,2006.0,61.40%,700,927.96,Rosebank 2007 Release,"Original Bottling, Lowlands Single Malt",Original Bottling, Lowlands Single Malt
20.0,1981.0,2001.0,62.00%,700,1178.8200000000002,Talisker Special Releases (2002 Release),"Original Bottling, Islands Single Malt",Original Bottling, Islands Single Malt
40.0,1963.0,2003.0,42.90%,700,1152.18,Bunnahabhain (Feis Ile 2003),"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
18.0,1988.0,2006.0,43.00%,700,849.1500000000001,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
18.0,1988.0,2006.0,40.00%,700,1134.42,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
17.0,1958.0,1975.0,43.00%,750,1027.8600000000001,Highland Park (Ferraretto),"Original Bottling, Islands Single Malt",Original Bottling, Islands Single Malt
26.0,1977.0,2003.0,52.10%,700,1004.5500000000001,Highland Park Scottish Field Merchant´s,"Original Bottling, Islands Single Malt",Original Bottling, Islands Single Malt
28.0,1979.0,2007.0,53.80%,700,1086.69,Port Ellen 7th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
23.0,1985.0,2008.0,51.70%,700,466.20000000000005,Yoichi 116.13,"Scotch Malt Whisky Society, Japan Single Malt",Scotch Malt Whisky Society, Japan Single Malt
35.0,1979.0,2014.0,46.00%,700,946.83,Port Ellen Rare Old,"Gordon & MacPhail, Islay Single Malt",Gordon & MacPhail, Islay Single Malt
20.0,1975.0,1995.0,54.90%,700,1127.76,Brora Rare Malts,"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
35.0,1977.0,2013.0,49.90%,700,1290.93,Brora 2013 Release,"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
18.0,1986.0,2004.0,43.00%,700,879.1200000000001,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling, Speyside Single Malt
29.0,1978.0,2007.0,55.30%,700,1017.8700000000001,Port Ellen 8th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
38.0,1975.0,2013.0,45.60%,700,889.1100000000001,Auchentoshan Bourbon Cask,"Original Bottling, Lowlands Single Malt",Original Bottling, Lowlands Single Malt
25.0,1971.0,1996.0,43.00%,700,848.0400000000001,Glenmorangie The Culloden,"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
15.0,2000.0,2015.0,58.80%,700,995.6700000000001,Hanyu Single Cask (Ichiro´s Malt),"Original Bottling, Japan Single Malt",Original Bottling, Japan Single Malt
36.0,1968.0,2004.0,53.80%,700,1028.97,Longmorn 7.27,"Scotch Malt Whisky Society, Speyside Single Malt",Scotch Malt Whisky Society, Speyside Single Malt
23.0,1977.0,2000.0,50.00%,700,947.94,Macallan,"Silver Seal, Speyside Single Malt",Silver Seal, Speyside Single Malt
35.0,1977.0,2012.0,50.40%,700,1102.23,Port Ellen Old & Rare,"Douglas Laing, Islay Single Malt",Douglas Laing, Islay Single Malt
24.0,1977.0,2001.0,56.10%,700,845.82,Brora Rare Malts,"Original Bottling, Highlands Single Malt",Original Bottling, Highlands Single Malt
20.0,1978.0,1998.0,60.90%,700,818.07,Port Ellen Rare Malts,"Original Bottling, Islay Single Malt",Original Bottling, Islay Single Malt
