Rainfall - (MM), Year, Statistics, Country, ISO3
20.2337,1906, Feb Average, Canada, CAN
22.1135,1906, Mar Average, Canada, CAN
21.9375,1906, Apr Average, Canada, CAN
32.335,1906, May Average, Canada, CAN
55.2435,1906, Jun Average, Canada, CAN
47.8658,1906, Jul Average, Canada, CAN
48.2724,1906, Aug Average, Canada, CAN
48.4791,1906, Sep Average, Canada, CAN
43.8671,1906, Oct Average, Canada, CAN
41.3587,1906, Nov Average, Canada, CAN
34.2426,1906, Dec Average, Canada, CAN
26.3073,1907, Jan Average, Canada, CAN
22.7703,1907, Feb Average, Canada, CAN
27.2525,1907, Mar Average, Canada, CAN
24.4403,1907, Apr Average, Canada, CAN
27.0793,1907, May Average, Canada, CAN
45.988,1907, Jun Average, Canada, CAN
55.0222,1907, Jul Average, Canada, CAN
63.2169,1907, Aug Average, Canada, CAN
48.8606,1907, Sep Average, Canada, CAN
32.2169,1907, Oct Average, Canada, CAN
32.0568,1907, Nov Average, Canada, CAN
27.3739,1907, Dec Average, Canada, CAN
23.6809,1908, Jan Average, Canada, CAN
30.716,1908, Feb Average, Canada, CAN
29.1964,1908, Mar Average, Canada, CAN
24.5836,1908, Apr Average, Canada, CAN
33.8314,1908, May Average, Canada, CAN
50.2503,1908, Jun Average, Canada, CAN
50.4965,1908, Jul Average, Canada, CAN
52.6109,1908, Aug Average, Canada, CAN
40.1828,1908, Sep Average, Canada, CAN
36.7354,1908, Oct Average, Canada, CAN
33.9938,1908, Nov Average, Canada, CAN
26.8734,1908, Dec Average, Canada, CAN
27.3838,1909, Jan Average, Canada, CAN
26.8423,1909, Feb Average, Canada, CAN
28.3671,1909, Mar Average, Canada, CAN
23.0135,1909, Apr Average, Canada, CAN
32.219,1909, May Average, Canada, CAN
41.8934,1909, Jun Average, Canada, CAN
62.1963,1909, Jul Average, Canada, CAN
53.6873,1909, Aug Average, Canada, CAN
45.9888,1909, Sep Average, Canada, CAN
39.2659,1909, Oct Average, Canada, CAN
37.9256,1909, Nov Average, Canada, CAN
31.2778,1909, Dec Average, Canada, CAN
24.9186,1910, Jan Average, Canada, CAN
25.682,1910, Feb Average, Canada, CAN
23.9181,1910, Mar Average, Canada, CAN
22.5948,1910, Apr Average, Canada, CAN
33.4824,1910, May Average, Canada, CAN
47.5896,1910, Jun Average, Canada, CAN
57.1854,1910, Jul Average, Canada, CAN
52.7259,1910, Aug Average, Canada, CAN
43.5117,1910, Sep Average, Canada, CAN
41.8676,1910, Oct Average, Canada, CAN
38.0994,1910, Nov Average, Canada, CAN
29.389,1910, Dec Average, Canada, CAN
28.3117,1911, Jan Average, Canada, CAN
21.3546,1911, Feb Average, Canada, CAN
22.6734,1911, Mar Average, Canada, CAN
23.0445,1911, Apr Average, Canada, CAN
34.2245,1911, May Average, Canada, CAN
52.7355,1911, Jun Average, Canada, CAN
54.7555,1911, Jul Average, Canada, CAN
55.8173,1911, Aug Average, Canada, CAN
44.1351,1911, Sep Average, Canada, CAN
33.1392,1911, Oct Average, Canada, CAN
39.7241,1911, Nov Average, Canada, CAN
27.9428,1911, Dec Average, Canada, CAN
21.8938,1912, Jan Average, Canada, CAN
19.6049,1912, Feb Average, Canada, CAN
19.7139,1912, Mar Average, Canada, CAN
23.6458,1912, Apr Average, Canada, CAN
32.505,1912, May Average, Canada, CAN
43.6918,1912, Jun Average, Canada, CAN
58.2237,1912, Jul Average, Canada, CAN
59.4799,1912, Aug Average, Canada, CAN
44.1629,1912, Sep Average, Canada, CAN
37.0317,1912, Oct Average, Canada, CAN
34.3761,1912, Nov Average, Canada, CAN
30.9757,1912, Dec Average, Canada, CAN
30.5832,1913, Jan Average, Canada, CAN
19.5456,1913, Feb Average, Canada, CAN
28.2947,1913, Mar Average, Canada, CAN
23.3043,1913, Apr Average, Canada, CAN
29.9646,1913, May Average, Canada, CAN
42.371,1913, Jun Average, Canada, CAN
58.747,1913, Jul Average, Canada, CAN
56.9726,1913, Aug Average, Canada, CAN
47.0092,1913, Sep Average, Canada, CAN
43.0491,1913, Oct Average, Canada, CAN
34.1217,1913, Nov Average, Canada, CAN
24.4452,1913, Dec Average, Canada, CAN
28.5789,1914, Jan Average, Canada, CAN
21.3388,1914, Feb Average, Canada, CAN
23.134,1914, Mar Average, Canada, CAN
23.9784,1914, Apr Average, Canada, CAN
29.9389,1914, May Average, Canada, CAN
45.2839,1914, Jun Average, Canada, CAN
53.9551,1914, Jul Average, Canada, CAN
46.1715,1914, Aug Average, Canada, CAN
46.1482,1914, Sep Average, Canada, CAN
38.4096,1914, Oct Average, Canada, CAN
39.2042,1914, Nov Average, Canada, CAN
20.7376,1914, Dec Average, Canada, CAN
21.7643,1915, Jan Average, Canada, CAN
21.9274,1915, Feb Average, Canada, CAN
17.5243,1915, Mar Average, Canada, CAN
21.8648,1915, Apr Average, Canada, CAN
34.1845,1915, May Average, Canada, CAN
46.695,1915, Jun Average, Canada, CAN
51.471,1915, Jul Average, Canada, CAN
44.7241,1915, Aug Average, Canada, CAN
49.6255,1915, Sep Average, Canada, CAN
40.5643,1915, Oct Average, Canada, CAN
34.7323,1915, Nov Average, Canada, CAN
30.4753,1915, Dec Average, Canada, CAN
25.7732,1916, Jan Average, Canada, CAN
22.733,1916, Feb Average, Canada, CAN
26.7618,1916, Mar Average, Canada, CAN
20.286,1916, Apr Average, Canada, CAN
34.524,1916, May Average, Canada, CAN
43.9958,1916, Jun Average, Canada, CAN
59.4245,1916, Jul Average, Canada, CAN
48.6534,1916, Aug Average, Canada, CAN
45.5446,1916, Sep Average, Canada, CAN
40.1354,1916, Oct Average, Canada, CAN
28.7768,1916, Nov Average, Canada, CAN
29.0058,1916, Dec Average, Canada, CAN
27.6989,1917, Jan Average, Canada, CAN
21.2969,1917, Feb Average, Canada, CAN
24.0721,1917, Mar Average, Canada, CAN
23.7571,1917, Apr Average, Canada, CAN
25.0166,1917, May Average, Canada, CAN
45.8485,1917, Jun Average, Canada, CAN
55.8968,1917, Jul Average, Canada, CAN
52.5378,1917, Aug Average, Canada, CAN
35.9302,1917, Sep Average, Canada, CAN
47.0107,1917, Oct Average, Canada, CAN
30.2523,1917, Nov Average, Canada, CAN
31.806,1917, Dec Average, Canada, CAN
32.0973,1918, Jan Average, Canada, CAN
25.1139,1918, Feb Average, Canada, CAN
22.1157,1918, Mar Average, Canada, CAN
19.3315,1918, Apr Average, Canada, CAN
31.6039,1918, May Average, Canada, CAN
46.3898,1918, Jun Average, Canada, CAN
53.6789,1918, Jul Average, Canada, CAN
57.9344,1918, Aug Average, Canada, CAN
40.7295,1918, Sep Average, Canada, CAN
43.6005,1918, Oct Average, Canada, CAN
32.1092,1918, Nov Average, Canada, CAN
28.9155,1918, Dec Average, Canada, CAN
26.6752,1919, Jan Average, Canada, CAN
19.9698,1919, Feb Average, Canada, CAN
25.1486,1919, Mar Average, Canada, CAN
24.4978,1919, Apr Average, Canada, CAN
29.8581,1919, May Average, Canada, CAN
43.637,1919, Jun Average, Canada, CAN
55.4052,1919, Jul Average, Canada, CAN
53.0269,1919, Aug Average, Canada, CAN
43.7509,1919, Sep Average, Canada, CAN
39.9719,1919, Oct Average, Canada, CAN
37.7584,1919, Nov Average, Canada, CAN
25.6336,1919, Dec Average, Canada, CAN
28.2551,1920, Jan Average, Canada, CAN
19.5646,1920, Feb Average, Canada, CAN
25.9325,1920, Mar Average, Canada, CAN
25.0597,1920, Apr Average, Canada, CAN
25.0496,1920, May Average, Canada, CAN
42.4743,1920, Jun Average, Canada, CAN
49.2235,1920, Jul Average, Canada, CAN
53.2907,1920, Aug Average, Canada, CAN
48.5162,1920, Sep Average, Canada, CAN
40.3787,1920, Oct Average, Canada, CAN
29.4246,1920, Nov Average, Canada, CAN
30.6897,1920, Dec Average, Canada, CAN
25.7771,1921, Jan Average, Canada, CAN
23.7992,1921, Feb Average, Canada, CAN
25.0951,1921, Mar Average, Canada, CAN
24.6555,1921, Apr Average, Canada, CAN
27.9432,1921, May Average, Canada, CAN
43.0407,1921, Jun Average, Canada, CAN
53.9016,1921, Jul Average, Canada, CAN
56.6948,1921, Aug Average, Canada, CAN
53.6349,1921, Sep Average, Canada, CAN
37.0302,1921, Oct Average, Canada, CAN
32.5306,1921, Nov Average, Canada, CAN
25.8419,1921, Dec Average, Canada, CAN
22.3211,1922, Jan Average, Canada, CAN
21.1647,1922, Feb Average, Canada, CAN
21.7194,1922, Mar Average, Canada, CAN
23.9187,1922, Apr Average, Canada, CAN
32.5319,1922, May Average, Canada, CAN
42.0811,1922, Jun Average, Canada, CAN
52.1954,1922, Jul Average, Canada, CAN
49.2147,1922, Aug Average, Canada, CAN
42.3188,1922, Sep Average, Canada, CAN
36.4858,1922, Oct Average, Canada, CAN
30.69,1922, Nov Average, Canada, CAN
27.7476,1922, Dec Average, Canada, CAN
27.4563,1923, Jan Average, Canada, CAN
20.9754,1923, Feb Average, Canada, CAN
26.2666,1923, Mar Average, Canada, CAN
21.9271,1923, Apr Average, Canada, CAN
29.3977,1923, May Average, Canada, CAN
45.5901,1923, Jun Average, Canada, CAN
58.4078,1923, Jul Average, Canada, CAN
52.5395,1923, Aug Average, Canada, CAN
39.7324,1923, Sep Average, Canada, CAN
32.0395,1923, Oct Average, Canada, CAN
30.1801,1923, Nov Average, Canada, CAN
30.9014,1923, Dec Average, Canada, CAN
28.3909,1924, Jan Average, Canada, CAN
23.2907,1924, Feb Average, Canada, CAN
18.7831,1924, Mar Average, Canada, CAN
26.0149,1924, Apr Average, Canada, CAN
26.127,1924, May Average, Canada, CAN
38.3353,1924, Jun Average, Canada, CAN
50.8605,1924, Jul Average, Canada, CAN
59.5913,1924, Aug Average, Canada, CAN
46.0126,1924, Sep Average, Canada, CAN
35.5466,1924, Oct Average, Canada, CAN
31.6523,1924, Nov Average, Canada, CAN
27.5513,1924, Dec Average, Canada, CAN
25.0551,1925, Jan Average, Canada, CAN
25.4799,1925, Feb Average, Canada, CAN
27.4239,1925, Mar Average, Canada, CAN
22.3986,1925, Apr Average, Canada, CAN
24.5169,1925, May Average, Canada, CAN
47.0703,1925, Jun Average, Canada, CAN
54.2057,1925, Jul Average, Canada, CAN
50.7209,1925, Aug Average, Canada, CAN
45.2252,1925, Sep Average, Canada, CAN
38.1495,1925, Oct Average, Canada, CAN
31.9711,1925, Nov Average, Canada, CAN
30.2426,1925, Dec Average, Canada, CAN
22.0588,1926, Jan Average, Canada, CAN
23.5582,1926, Feb Average, Canada, CAN
19.8299,1926, Mar Average, Canada, CAN
21.2165,1926, Apr Average, Canada, CAN
27.9408,1926, May Average, Canada, CAN
46.1676,1926, Jun Average, Canada, CAN
50.7277,1926, Jul Average, Canada, CAN
49.6657,1926, Aug Average, Canada, CAN
43.9168,1926, Sep Average, Canada, CAN
45.2089,1926, Oct Average, Canada, CAN
36.9997,1926, Nov Average, Canada, CAN
29.9619,1926, Dec Average, Canada, CAN
22.1284,1927, Jan Average, Canada, CAN
19.1412,1927, Feb Average, Canada, CAN
20.7464,1927, Mar Average, Canada, CAN
23.0073,1927, Apr Average, Canada, CAN
35.5393,1927, May Average, Canada, CAN
44.126,1927, Jun Average, Canada, CAN
55.4242,1927, Jul Average, Canada, CAN
49.8454,1927, Aug Average, Canada, CAN
48.8717,1927, Sep Average, Canada, CAN
40.5038,1927, Oct Average, Canada, CAN
38.0956,1927, Nov Average, Canada, CAN
29.4178,1927, Dec Average, Canada, CAN
26.9412,1928, Jan Average, Canada, CAN
16.5321,1928, Feb Average, Canada, CAN
25.1024,1928, Mar Average, Canada, CAN
24.1154,1928, Apr Average, Canada, CAN
27.7821,1928, May Average, Canada, CAN
45.8877,1928, Jun Average, Canada, CAN
50.893,1928, Jul Average, Canada, CAN
50.4082,1928, Aug Average, Canada, CAN
36.8313,1928, Sep Average, Canada, CAN
36.5929,1928, Oct Average, Canada, CAN
24.8119,1928, Nov Average, Canada, CAN
24.0325,1928, Dec Average, Canada, CAN
26.8362,1929, Jan Average, Canada, CAN
16.3219,1929, Feb Average, Canada, CAN
26.7054,1929, Mar Average, Canada, CAN
24.4376,1929, Apr Average, Canada, CAN
28.065,1929, May Average, Canada, CAN
41.7367,1929, Jun Average, Canada, CAN
50.4202,1929, Jul Average, Canada, CAN
45.9962,1929, Aug Average, Canada, CAN
40.5584,1929, Sep Average, Canada, CAN
37.3571,1929, Oct Average, Canada, CAN
35.2858,1929, Nov Average, Canada, CAN
30.2831,1929, Dec Average, Canada, CAN
21.0281,1930, Jan Average, Canada, CAN
28.0492,1930, Feb Average, Canada, CAN
24.8935,1930, Mar Average, Canada, CAN
23.4709,1930, Apr Average, Canada, CAN
30.3541,1930, May Average, Canada, CAN
51.3351,1930, Jun Average, Canada, CAN
58.7497,1930, Jul Average, Canada, CAN
46.167,1930, Aug Average, Canada, CAN
50.114,1930, Sep Average, Canada, CAN
36.3141,1930, Oct Average, Canada, CAN
33.3199,1930, Nov Average, Canada, CAN
26.4882,1930, Dec Average, Canada, CAN
27.1692,1931, Jan Average, Canada, CAN
18.2268,1931, Feb Average, Canada, CAN
26.5571,1931, Mar Average, Canada, CAN
22.3586,1931, Apr Average, Canada, CAN
30.2132,1931, May Average, Canada, CAN
46.8792,1931, Jun Average, Canada, CAN
55.3779,1931, Jul Average, Canada, CAN
50.0427,1931, Aug Average, Canada, CAN
54.6748,1931, Sep Average, Canada, CAN
39.2085,1931, Oct Average, Canada, CAN
31.2986,1931, Nov Average, Canada, CAN
27.6279,1931, Dec Average, Canada, CAN
31.151,1932, Jan Average, Canada, CAN
27.4646,1932, Feb Average, Canada, CAN
28.7563,1932, Mar Average, Canada, CAN
26.1684,1932, Apr Average, Canada, CAN
25.8133,1932, May Average, Canada, CAN
51.9888,1932, Jun Average, Canada, CAN
64.5575,1932, Jul Average, Canada, CAN
58.0996,1932, Aug Average, Canada, CAN
42.8073,1932, Sep Average, Canada, CAN
44.9953,1932, Oct Average, Canada, CAN
40.7741,1932, Nov Average, Canada, CAN
26.7907,1932, Dec Average, Canada, CAN
28.6259,1933, Jan Average, Canada, CAN
24.2413,1933, Feb Average, Canada, CAN
25.7931,1933, Mar Average, Canada, CAN
24.7423,1933, Apr Average, Canada, CAN
32.7531,1933, May Average, Canada, CAN
43.5766,1933, Jun Average, Canada, CAN
49.3586,1933, Jul Average, Canada, CAN
42.2022,1933, Aug Average, Canada, CAN
54.4117,1933, Sep Average, Canada, CAN
47.4779,1933, Oct Average, Canada, CAN
45.5828,1933, Nov Average, Canada, CAN
35.488,1933, Dec Average, Canada, CAN
30.2417,1934, Jan Average, Canada, CAN
18.5559,1934, Feb Average, Canada, CAN
23.9696,1934, Mar Average, Canada, CAN
25.5477,1934, Apr Average, Canada, CAN
28.6827,1934, May Average, Canada, CAN
50.9232,1934, Jun Average, Canada, CAN
56.2595,1934, Jul Average, Canada, CAN
49.2666,1934, Aug Average, Canada, CAN
48.5095,1934, Sep Average, Canada, CAN
40.6262,1934, Oct Average, Canada, CAN
38.3398,1934, Nov Average, Canada, CAN
29.6768,1934, Dec Average, Canada, CAN
35.184,1935, Jan Average, Canada, CAN
16.4296,1935, Feb Average, Canada, CAN
28.3984,1935, Mar Average, Canada, CAN
19.6784,1935, Apr Average, Canada, CAN
26.3568,1935, May Average, Canada, CAN
48.865,1935, Jun Average, Canada, CAN
64.2239,1935, Jul Average, Canada, CAN
55.7826,1935, Aug Average, Canada, CAN
43.142,1935, Sep Average, Canada, CAN
39.3833,1935, Oct Average, Canada, CAN
34.2417,1935, Nov Average, Canada, CAN
26.9289,1935, Dec Average, Canada, CAN
27.5248,1936, Jan Average, Canada, CAN
20.1693,1936, Feb Average, Canada, CAN
28.9784,1936, Mar Average, Canada, CAN
21.8142,1936, Apr Average, Canada, CAN
31.919,1936, May Average, Canada, CAN
44.6363,1936, Jun Average, Canada, CAN
61.5993,1936, Jul Average, Canada, CAN
48.2063,1936, Aug Average, Canada, CAN
50.5719,1936, Sep Average, Canada, CAN
38.3426,1936, Oct Average, Canada, CAN
34.1647,1936, Nov Average, Canada, CAN
32.9393,1936, Dec Average, Canada, CAN
26.9461,1937, Jan Average, Canada, CAN
24.0593,1937, Feb Average, Canada, CAN
18.5916,1937, Mar Average, Canada, CAN
23.4336,1937, Apr Average, Canada, CAN
32.7949,1937, May Average, Canada, CAN
49.289,1937, Jun Average, Canada, CAN
48.9566,1937, Jul Average, Canada, CAN
62.8429,1937, Aug Average, Canada, CAN
42.725,1937, Sep Average, Canada, CAN
43.3466,1937, Oct Average, Canada, CAN
36.7412,1937, Nov Average, Canada, CAN
32.811,1937, Dec Average, Canada, CAN
27.6371,1938, Jan Average, Canada, CAN
22.8199,1938, Feb Average, Canada, CAN
23.0178,1938, Mar Average, Canada, CAN
24.9069,1938, Apr Average, Canada, CAN
27.7805,1938, May Average, Canada, CAN
44.1936,1938, Jun Average, Canada, CAN
52.9104,1938, Jul Average, Canada, CAN
61.7903,1938, Aug Average, Canada, CAN
38.4533,1938, Sep Average, Canada, CAN
34.3214,1938, Oct Average, Canada, CAN
35.7903,1938, Nov Average, Canada, CAN
35.7326,1938, Dec Average, Canada, CAN
31.1506,1939, Jan Average, Canada, CAN
27.2462,1939, Feb Average, Canada, CAN
25.4461,1939, Mar Average, Canada, CAN
23.606,1939, Apr Average, Canada, CAN
34.6563,1939, May Average, Canada, CAN
53.7251,1939, Jun Average, Canada, CAN
57.6043,1939, Jul Average, Canada, CAN
55.2254,1939, Aug Average, Canada, CAN
49.3291,1939, Sep Average, Canada, CAN
47.7371,1939, Oct Average, Canada, CAN
32.8354,1939, Nov Average, Canada, CAN
34.895,1939, Dec Average, Canada, CAN
25.0242,1940, Jan Average, Canada, CAN
20.5597,1940, Feb Average, Canada, CAN
29.7182,1940, Mar Average, Canada, CAN
26.0199,1940, Apr Average, Canada, CAN
33.7592,1940, May Average, Canada, CAN
45.699,1940, Jun Average, Canada, CAN
50.0472,1940, Jul Average, Canada, CAN
48.0034,1940, Aug Average, Canada, CAN
40.0696,1940, Sep Average, Canada, CAN
40.0785,1940, Oct Average, Canada, CAN
40.1488,1940, Nov Average, Canada, CAN
29.27,1940, Dec Average, Canada, CAN
28.8283,1941, Jan Average, Canada, CAN
19.7264,1941, Feb Average, Canada, CAN
20.2965,1941, Mar Average, Canada, CAN
19.7296,1941, Apr Average, Canada, CAN
36.4178,1941, May Average, Canada, CAN
45.3011,1941, Jun Average, Canada, CAN
51.22,1941, Jul Average, Canada, CAN
52.8299,1941, Aug Average, Canada, CAN
56.8788,1941, Sep Average, Canada, CAN
41.025,1941, Oct Average, Canada, CAN
37.9942,1941, Nov Average, Canada, CAN
30.0088,1941, Dec Average, Canada, CAN
21.2652,1942, Jan Average, Canada, CAN
22.5653,1942, Feb Average, Canada, CAN
27.8698,1942, Mar Average, Canada, CAN
21.7384,1942, Apr Average, Canada, CAN
30.4911,1942, May Average, Canada, CAN
47.2384,1942, Jun Average, Canada, CAN
57.3759,1942, Jul Average, Canada, CAN
50.5419,1942, Aug Average, Canada, CAN
45.2303,1942, Sep Average, Canada, CAN
35.4998,1942, Oct Average, Canada, CAN
39.0051,1942, Nov Average, Canada, CAN
32.7162,1942, Dec Average, Canada, CAN
23.4022,1943, Jan Average, Canada, CAN
22.9631,1943, Feb Average, Canada, CAN
25.7998,1943, Mar Average, Canada, CAN
21.1211,1943, Apr Average, Canada, CAN
31.2727,1943, May Average, Canada, CAN
46.2023,1943, Jun Average, Canada, CAN
59.3781,1943, Jul Average, Canada, CAN
58.5883,1943, Aug Average, Canada, CAN
41.1689,1943, Sep Average, Canada, CAN
34.9743,1943, Oct Average, Canada, CAN
26.4241,1943, Nov Average, Canada, CAN
23.0416,1943, Dec Average, Canada, CAN
20.8191,1944, Jan Average, Canada, CAN
22.0749,1944, Feb Average, Canada, CAN
27.6288,1944, Mar Average, Canada, CAN
16.3049,1944, Apr Average, Canada, CAN
31.119,1944, May Average, Canada, CAN
50.7802,1944, Jun Average, Canada, CAN
58.0017,1944, Jul Average, Canada, CAN
54.0315,1944, Aug Average, Canada, CAN
44.9456,1944, Sep Average, Canada, CAN
34.3877,1944, Oct Average, Canada, CAN
36.2733,1944, Nov Average, Canada, CAN
25.3075,1944, Dec Average, Canada, CAN
26.8728,1945, Jan Average, Canada, CAN
22.0447,1945, Feb Average, Canada, CAN
24.087,1945, Mar Average, Canada, CAN
27.3293,1945, Apr Average, Canada, CAN
28.6277,1945, May Average, Canada, CAN
42.4216,1945, Jun Average, Canada, CAN
51.7059,1945, Jul Average, Canada, CAN
46.3797,1945, Aug Average, Canada, CAN
53.6794,1945, Sep Average, Canada, CAN
38.9391,1945, Oct Average, Canada, CAN
40.9514,1945, Nov Average, Canada, CAN
26.3559,1945, Dec Average, Canada, CAN
29.1834,1946, Jan Average, Canada, CAN
25.6101,1946, Feb Average, Canada, CAN
23.5229,1946, Mar Average, Canada, CAN
23.8962,1946, Apr Average, Canada, CAN
26.2949,1946, May Average, Canada, CAN
38.5828,1946, Jun Average, Canada, CAN
53.8498,1946, Jul Average, Canada, CAN
48.6812,1946, Aug Average, Canada, CAN
45.2626,1946, Sep Average, Canada, CAN
38.9918,1946, Oct Average, Canada, CAN
33.7663,1946, Nov Average, Canada, CAN
32.9011,1946, Dec Average, Canada, CAN
29.4742,1947, Jan Average, Canada, CAN
28.0071,1947, Feb Average, Canada, CAN
20.79,1947, Mar Average, Canada, CAN
23.9756,1947, Apr Average, Canada, CAN
31.9528,1947, May Average, Canada, CAN
47.3315,1947, Jun Average, Canada, CAN
50.8077,1947, Jul Average, Canada, CAN
59.4158,1947, Aug Average, Canada, CAN
47.9131,1947, Sep Average, Canada, CAN
34.677,1947, Oct Average, Canada, CAN
33.8746,1947, Nov Average, Canada, CAN
31.1334,1947, Dec Average, Canada, CAN
22.6029,1948, Jan Average, Canada, CAN
25.4552,1948, Feb Average, Canada, CAN
23.0155,1948, Mar Average, Canada, CAN
29.0868,1948, Apr Average, Canada, CAN
29.5628,1948, May Average, Canada, CAN
39.002,1948, Jun Average, Canada, CAN
65.7938,1948, Jul Average, Canada, CAN
54.4447,1948, Aug Average, Canada, CAN
39.6447,1948, Sep Average, Canada, CAN
30.8597,1948, Oct Average, Canada, CAN
38.4579,1948, Nov Average, Canada, CAN
28.2687,1948, Dec Average, Canada, CAN
28.1219,1949, Jan Average, Canada, CAN
23.1448,1949, Feb Average, Canada, CAN
24.655,1949, Mar Average, Canada, CAN
22.3042,1949, Apr Average, Canada, CAN
28.5764,1949, May Average, Canada, CAN
49.6783,1949, Jun Average, Canada, CAN
56.7774,1949, Jul Average, Canada, CAN
52.3428,1949, Aug Average, Canada, CAN
42.776,1949, Sep Average, Canada, CAN
39.2415,1949, Oct Average, Canada, CAN
37.5633,1949, Nov Average, Canada, CAN
33.0644,1949, Dec Average, Canada, CAN
27.0381,1950, Jan Average, Canada, CAN
26.6831,1950, Feb Average, Canada, CAN
23.2064,1950, Mar Average, Canada, CAN
23.5722,1950, Apr Average, Canada, CAN
25.9511,1950, May Average, Canada, CAN
45.3621,1950, Jun Average, Canada, CAN
56.9943,1950, Jul Average, Canada, CAN
49.745,1950, Aug Average, Canada, CAN
34.9578,1950, Sep Average, Canada, CAN
42.8148,1950, Oct Average, Canada, CAN
50.317,1950, Nov Average, Canada, CAN
35.7228,1950, Dec Average, Canada, CAN
27.073,1951, Jan Average, Canada, CAN
25.816,1951, Feb Average, Canada, CAN
28.971,1951, Mar Average, Canada, CAN
25.8846,1951, Apr Average, Canada, CAN
33.8824,1951, May Average, Canada, CAN
46.1082,1951, Jun Average, Canada, CAN
53.8492,1951, Jul Average, Canada, CAN
50.4522,1951, Aug Average, Canada, CAN
43.2567,1951, Sep Average, Canada, CAN
44.5216,1951, Oct Average, Canada, CAN
37.4893,1951, Nov Average, Canada, CAN
28.6287,1951, Dec Average, Canada, CAN
33.1217,1952, Jan Average, Canada, CAN
25.3178,1952, Feb Average, Canada, CAN
26.4465,1952, Mar Average, Canada, CAN
21.9678,1952, Apr Average, Canada, CAN
28.8806,1952, May Average, Canada, CAN
53.0863,1952, Jun Average, Canada, CAN
61.5423,1952, Jul Average, Canada, CAN
62.4111,1952, Aug Average, Canada, CAN
43.3952,1952, Sep Average, Canada, CAN
30.8759,1952, Oct Average, Canada, CAN
27.949,1952, Nov Average, Canada, CAN
27.4976,1952, Dec Average, Canada, CAN
34.1484,1953, Jan Average, Canada, CAN
24.1217,1953, Feb Average, Canada, CAN
29.0654,1953, Mar Average, Canada, CAN
26.9306,1953, Apr Average, Canada, CAN
28.6983,1953, May Average, Canada, CAN
48.2592,1953, Jun Average, Canada, CAN
58.1637,1953, Jul Average, Canada, CAN
53.4492,1953, Aug Average, Canada, CAN
49.5831,1953, Sep Average, Canada, CAN
31.1525,1953, Oct Average, Canada, CAN
33.7831,1953, Nov Average, Canada, CAN
34.7135,1953, Dec Average, Canada, CAN
28.1507,1954, Jan Average, Canada, CAN
28.6906,1954, Feb Average, Canada, CAN
24.9655,1954, Mar Average, Canada, CAN
27.729,1954, Apr Average, Canada, CAN
32.793,1954, May Average, Canada, CAN
