,Year,Temperature,Precipitation,country
142,1974,16.018640391431664,3.2830487296959854,Ireland
143,1975,17.15726218072989,2.467412530512627,Ireland
144,1976,16.733347782634347,2.862280343277502,Ireland
145,1977,16.9317058468957,3.2277801091061944,Ireland
146,1978,16.85827020852494,3.011914715719084,Ireland
147,1979,15.397805543765454,3.2250000000000245,Ireland
148,1980,16.212867754875656,3.298528099910813,Ireland
149,1981,16.538728023326307,3.1484156570363675,Ireland
150,1982,17.18305632718982,3.615314494074772,Ireland
151,1983,16.93258397431375,3.065909090909107,Ireland
152,1984,16.966235079003297,3.121765209940032,Ireland
153,1985,15.76192913075114,3.4525161290322743,Ireland
154,1986,15.126458541458526,3.4778577476714823,Ireland
155,1987,16.232665723533767,3.0334204793028414,Ireland
156,1988,16.455024638151205,3.4453648068669764,Ireland
157,1989,17.451911715166748,3.0486713906111764,Ireland
158,1990,17.69955297191057,3.349608013937299,Ireland
159,1991,16.98809430408393,3.059424778761075,Ireland
160,1992,16.815142825362877,3.2873748367436004,Ireland
161,1993,17.034873484581727,3.539811133200806,Ireland
162,1994,17.01888782245728,3.7558873720136696,Ireland
163,1995,18.219760241810995,3.4097826086956693,Ireland
164,1996,16.59202343364166,3.4284662045060785,Ireland
165,1997,18.273061428779755,3.317236899090525,Ireland
166,1998,17.951424515176704,3.7939013840830587,Ireland
167,1999,17.81554613794712,3.6160670482420554,Ireland
168,2000,17.312928169576956,3.8014573510501712,Ireland
169,2001,17.26043755777354,3.0878260869565466,Ireland
170,2002,17.594852103719802,4.118075422626801,Ireland
171,2003,18.05150086323711,2.7812852800694925,Ireland
172,2004,17.801066785804686,3.0966086956521948,Ireland
173,2005,17.971530401876024,3.3827009936766266,Ireland
174,2006,18.202291469867816,4.076831683168342,Ireland
175,2007,18.615541565750505,3.5626494023904614,Ireland
176,2008,17.597772724876748,4.30325982742092,Ireland
177,2009,17.414084053738872,4.593441064638805,Ireland
178,2010,15.340593016792992,3.3238000000000083,Ireland
179,2011,17.573954976754788,4.0574746008708455,Ireland
180,2012,17.200616422947178,3.722185209860116,Ireland
181,2013,17.23344401400415,3.2068083261058287,Ireland
182,2014,18.091872906493712,3.667724196277508,Ireland
183,2015,17.29187316328373,4.016317432010712,Ireland
184,2016,17.78922242338031,3.132949876746118,Ireland
185,2017,18.073065351874725,3.141148325358873,Ireland
186,2018,17.365713560864965,3.277972972972992,Ireland
187,1973,14.013066348271868,2.141950207468896,Scotland
188,1974,14.054673005489633,2.3416938110749443,Scotland
189,1975,14.542543998910404,2.0664646464646643,Scotland
190,1976,14.501037920889177,2.1732724384432256,Scotland
191,1977,13.490555041137837,2.4811183144246565,Scotland
192,1978,13.541765044858787,2.462170790103774,Scotland
193,1979,12.719560808547714,2.6527032438926983,Scotland
194,1980,13.813051614560447,2.6509119746233423,Scotland
195,1981,13.575082441459406,2.577374301676003,Scotland
196,1982,14.421311714121478,3.212493651599816,Scotland
197,1983,14.750514929706357,2.5845584607795,Scotland
198,1984,14.6123176636799,3.0898433552299305,Scotland
199,1985,13.256264274751642,3.3596845736816383,Scotland
200,1986,13.127477389763186,3.019050000000024,Scotland
201,1987,13.447738069297746,2.8253145445395265,Scotland
202,1988,14.568356770439793,3.1280500000000204,Scotland
203,1989,14.979556941920887,2.3590113285273047,Scotland
204,1990,15.03387889454144,3.187437686939205,Scotland
205,1991,14.448130516657713,2.6779240506329285,Scotland
206,1992,14.319503827626386,3.2134751773049848,Scotland
207,1993,13.475823617784245,2.994052419354845,Scotland
208,1994,14.23130712887157,3.2402051282051403,Scotland
209,1995,14.874823568142402,2.8819148936170285,Scotland
210,1996,14.007009312853748,2.7578364116095044,Scotland
211,1997,15.52876067924086,2.9108008429926238,Scotland
212,1998,14.7847224026167,3.3203372508942413,Scotland
213,1999,15.033238431412935,2.9139326800170915,Scotland
214,2000,14.779256525078607,4.034401972873037,Scotland
215,2001,14.064141158480314,3.2406731317741304,Scotland
216,2002,14.807007103819394,3.9481401617250937,Scotland
217,2003,14.322894131362366,2.215014299332704,Scotland
218,2004,13.555997645203286,3.0506012506012645,Scotland
219,2005,14.732142945041971,2.663588621444224,Scotland
220,2006,15.203224853982793,2.5359368836292253,Scotland
221,2007,14.863119679090655,2.5903595416831613,Scotland
222,2008,13.284823320768414,2.7585433070866405,Scotland
223,2009,14.28332938127739,2.9830914083954863,Scotland
224,2010,13.537212410195274,2.3147360126083747,Scotland
225,2011,15.395981179754216,2.8120253164557205,Scotland
226,2012,14.098866066836235,2.674558996471994,Scotland
227,2013,14.829121241097331,2.387790468688487,Scotland
228,2014,15.711533492413304,2.9459724950884367,Scotland
229,2015,14.880465527800643,2.9942599425994536,Scotland
230,2016,14.281478044691124,2.7535056967572604,Scotland
231,2017,14.959843906399364,2.9028500619578934,Scotland
232,2018,15.35219856256417,2.8020202020202385,Scotland
233,2019,,2.6087567567567547,Scotland
